run_id,trial,is_baseline,sklearn_version,xgboost_version,cv_pr_auc_mean,cv_pr_auc_std,cv_roc_auc_mean,cv_roc_auc_std,train_pr_auc_mean,fit_time_sec,wall_time_sec,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight
20260622_101438,1,True,1.7.2,3.3.0,0.9369598816236804,0.0020580848825915,0.801645990091424,0.0060924555725821,0.9386660918212192,9.441293478012083,5.378757200000109,250,3,0.0359,0.8,1.0,20,0.0,0.0,10.0,1.0
20260622_101438,2,False,1.7.2,3.3.0,0.9367919303314884,0.0022191466242248,0.8012578128856498,0.0060398507717039,0.9379637492368678,12.31400227546692,5.454029300000002,400,2,0.03,0.65,0.9,20,0.1,1.0,20.0,0.75
20260622_101438,3,False,1.7.2,3.3.0,0.9368796659898104,0.0019901362836872,0.8014092538343551,0.0061141356760443,0.9385552967525548,11.59366226196289,5.227917500000331,400,2,0.045,0.85,0.9,10,0.1,0.1,1.0,0.5
20260622_101438,4,False,1.7.2,3.3.0,0.9369363484278396,0.0022467508020887,0.801408711663143,0.0060931699677341,0.939008422400911,4.762012958526611,2.426422499999717,180,4,0.03,1.0,1.0,80,0.5,1.0,20.0,0.75
20260622_101438,5,False,1.7.2,3.3.0,0.9370080997577976,0.0020769277569003,0.801788552245364,0.0061663306831094,0.9407204562134026,18.39407968521118,8.150530800000524,500,4,0.025,0.65,0.8,1,0.3,0.0,20.0,0.75
20260622_101438,6,False,1.7.2,3.3.0,0.9370997479117388,0.0021584250091044,0.8017503119024552,0.0061477338644984,0.9393940599838532,9.719377040863035,4.336598099999719,250,4,0.025,0.75,0.65,10,0.5,2.0,10.0,0.75
20260622_101438,7,False,1.7.2,3.3.0,0.9371097379624984,0.002148608503087,0.8018969020492845,0.0062260375368691,0.941037289784216,10.90579628944397,4.925143499999649,250,5,0.02,0.85,1.0,10,0.5,2.0,1.0,0.75
20260622_101438,8,False,1.7.2,3.3.0,0.936995746437212,0.002091016240309,0.8017538373362418,0.0059649599744153,0.9420935301414562,13.3836932182312,6.13803900000039,320,6,0.025,0.85,1.0,80,0.3,0.5,3.0,0.75
20260622_101438,9,False,1.7.2,3.3.0,0.9370090366939294,0.0019686021711386,0.8012734379626941,0.0060617655366999,0.938105316106724,6.366224050521851,2.8997533000001567,180,2,0.08,0.65,0.9,80,0.3,1.0,10.0,0.5
20260622_101438,10,False,1.7.2,3.3.0,0.9370665061868456,0.0022149739598097,0.8017581470841331,0.0060551187938937,0.9400445550373088,6.807668685913086,3.318073600000389,320,4,0.0359,1.0,1.0,80,0.3,2.0,5.0,0.75
20260622_101438,11,False,1.7.2,3.3.0,0.9369182891547346,0.0020470320778354,0.80134870737254,0.0059976092404988,0.937970884676124,5.268255949020386,2.5415106999998898,320,2,0.045,1.0,0.8,1,0.3,0.5,10.0,1.0
20260622_101438,12,False,1.7.2,3.3.0,0.9369371780069418,0.0020896659155482,0.8016430999107284,0.0061074006937953,0.9433809957603078,9.038645029067991,4.153022800000144,180,6,0.045,0.75,0.8,1,0.3,1.0,20.0,0.75
20260622_101438,13,False,1.7.2,3.3.0,0.9368179499746296,0.0019315456493321,0.8008381740468803,0.0060547188459202,0.9381928791963092,6.9241790771484375,3.1764662000005046,180,3,0.025,0.65,0.9,10,0.5,0.0,3.0,0.5
20260622_101438,14,False,1.7.2,3.3.0,0.9371762346647492,0.0020015399653561,0.8018299287716749,0.006030455946545,0.9430429583404442,8.915685892105103,4.115969700000278,180,6,0.0359,0.75,0.8,10,0.5,0.5,10.0,0.75
20260622_101438,15,False,1.7.2,3.3.0,0.9366553298513464,0.0020340240269687,0.8002923093876506,0.0061010453244671,0.9375329343853236,3.3166329860687256,1.6356927999995603,120,3,0.03,1.0,0.65,10,0.3,0.0,1.0,1.0
20260622_101438,16,False,1.7.2,3.3.0,0.9368930725992598,0.0021465518133452,0.8018060524368235,0.0061044808821019,0.9402769145474386,7.423097610473633,3.4633381999992707,180,5,0.045,0.75,0.8,80,0.3,0.1,40.0,0.5
20260622_101438,17,False,1.7.2,3.3.0,0.9362335819463083,0.0018138770054449,0.7998267919229143,0.0057135232994333,0.9483717460496226,22.3345799446106,9.705561900000248,500,6,0.0359,0.75,0.9,10,0.05,2.0,5.0,0.75
20260622_101438,18,False,1.7.2,3.3.0,0.9369663277149688,0.0020621186415719,0.8016639762198418,0.0062529499180129,0.9430232927241498,12.192040205001833,5.466452900000149,320,5,0.03,0.75,0.8,1,0.05,0.0,1.0,1.0
20260622_101438,19,False,1.7.2,3.3.0,0.9369760027316208,0.002253500864466,0.8015089080946977,0.0062008282008499,0.9400395261275464,3.950348138809204,1.9662263999998688,120,5,0.045,1.0,1.0,10,0.1,2.0,40.0,0.5
