brand,n_products,n_categories,n_events,price_median,source_dataset
UNK,23776,389,8672870,4.26,REES46 cosmetics 2019-Oct..2020-Feb
runail,1554,108,1535758,2.57,REES46 cosmetics 2019-Oct..2020-Feb
irisk,1744,134,1038264,2.78,REES46 cosmetics 2019-Oct..2020-Feb
masura,2205,53,865497,3.48,REES46 cosmetics 2019-Oct..2020-Feb
grattol,335,18,854162,4.76,REES46 cosmetics 2019-Oct..2020-Feb
bpw.style,314,2,438519,1.25,REES46 cosmetics 2019-Oct..2020-Feb
ingarden,659,49,433046,4.43,REES46 cosmetics 2019-Oct..2020-Feb
estel,885,40,393057,5.77,REES46 cosmetics 2019-Oct..2020-Feb
kapous,292,22,324248,3.63,REES46 cosmetics 2019-Oct..2020-Feb
jessnail,267,26,253919,3.01,REES46 cosmetics 2019-Oct..2020-Feb
uno,280,8,251257,9.18,REES46 cosmetics 2019-Oct..2020-Feb
freedecor,876,5,239236,1.27,REES46 cosmetics 2019-Oct..2020-Feb
italwax,175,15,225870,7.11,REES46 cosmetics 2019-Oct..2020-Feb
bluesky,971,20,202131,3.94,REES46 cosmetics 2019-Oct..2020-Feb
concept,314,34,201556,4.71,REES46 cosmetics 2019-Oct..2020-Feb
pole,605,30,199713,4.08,REES46 cosmetics 2019-Oct..2020-Feb
haruyama,540,4,193331,3.92,REES46 cosmetics 2019-Oct..2020-Feb
cnd,655,26,178461,10.92,REES46 cosmetics 2019-Oct..2020-Feb
milv,709,27,168105,0.79,REES46 cosmetics 2019-Oct..2020-Feb
domix,211,52,158723,4.22,REES46 cosmetics 2019-Oct..2020-Feb
lianail,767,26,133306,5.53,REES46 cosmetics 2019-Oct..2020-Feb
cosmoprofi,316,11,126896,5.33,REES46 cosmetics 2019-Oct..2020-Feb
zinger,282,29,124800,2.38,REES46 cosmetics 2019-Oct..2020-Feb
oniq,620,29,116847,7.76,REES46 cosmetics 2019-Oct..2020-Feb
f.o.x,617,23,112892,5.34,REES46 cosmetics 2019-Oct..2020-Feb
staleks,154,15,112186,5.98,REES46 cosmetics 2019-Oct..2020-Feb
nagaraku,98,9,108694,4.74,REES46 cosmetics 2019-Oct..2020-Feb
lovely,348,25,108164,7.73,REES46 cosmetics 2019-Oct..2020-Feb
uskusi,726,4,101821,3.84,REES46 cosmetics 2019-Oct..2020-Feb
beautix,369,12,99995,13.68,REES46 cosmetics 2019-Oct..2020-Feb
yoko,180,22,99466,3.3,REES46 cosmetics 2019-Oct..2020-Feb
pnb,375,35,93043,5.44,REES46 cosmetics 2019-Oct..2020-Feb
airnails,235,5,82569,0.95,REES46 cosmetics 2019-Oct..2020-Feb
de.lux,236,7,81052,1.55,REES46 cosmetics 2019-Oct..2020-Feb
severina,63,18,76825,1.89,REES46 cosmetics 2019-Oct..2020-Feb
metzger,159,14,76600,6.43,REES46 cosmetics 2019-Oct..2020-Feb
roubloff,84,2,72329,3.83,REES46 cosmetics 2019-Oct..2020-Feb
art-visage,68,15,65640,2.93,REES46 cosmetics 2019-Oct..2020-Feb
browxenna,64,12,62526,13.46,REES46 cosmetics 2019-Oct..2020-Feb
strong,18,1,61017,187.81,REES46 cosmetics 2019-Oct..2020-Feb
kinetics,477,28,57727,8.87,REES46 cosmetics 2019-Oct..2020-Feb
solomeya,397,34,50837,4.54,REES46 cosmetics 2019-Oct..2020-Feb
shik,102,29,48670,13.34,REES46 cosmetics 2019-Oct..2020-Feb
ardell,61,9,47000,6.52,REES46 cosmetics 2019-Oct..2020-Feb
rosi,148,17,44669,5.68,REES46 cosmetics 2019-Oct..2020-Feb
kaaral,254,12,44475,6.78,REES46 cosmetics 2019-Oct..2020-Feb
levrana,259,37,44400,5.84,REES46 cosmetics 2019-Oct..2020-Feb
swarovski,91,1,44325,2.32,REES46 cosmetics 2019-Oct..2020-Feb
smart,82,3,42379,5.14,REES46 cosmetics 2019-Oct..2020-Feb
farmstay,104,16,38170,11.28,REES46 cosmetics 2019-Oct..2020-Feb
markell,244,37,36857,3.66,REES46 cosmetics 2019-Oct..2020-Feb
polarus,34,2,35032,61.6,REES46 cosmetics 2019-Oct..2020-Feb
max,20,1,34301,63.33,REES46 cosmetics 2019-Oct..2020-Feb
marathon,18,2,33746,109.68,REES46 cosmetics 2019-Oct..2020-Feb
lador,37,7,33724,14.32,REES46 cosmetics 2019-Oct..2020-Feb
dewal,315,14,31962,4.2,REES46 cosmetics 2019-Oct..2020-Feb
beauty-free,146,6,31396,3.58,REES46 cosmetics 2019-Oct..2020-Feb
bioaqua,143,22,28744,6.88,REES46 cosmetics 2019-Oct..2020-Feb
depilflax,74,13,28506,5.88,REES46 cosmetics 2019-Oct..2020-Feb
sunuv,11,1,27091,42.77,REES46 cosmetics 2019-Oct..2020-Feb
jas,16,2,27065,14.76,REES46 cosmetics 2019-Oct..2020-Feb
matrix,141,15,26135,16.26,REES46 cosmetics 2019-Oct..2020-Feb
nitrimax,35,2,26131,9.11,REES46 cosmetics 2019-Oct..2020-Feb
artex,16,6,26066,11.82,REES46 cosmetics 2019-Oct..2020-Feb
dizao,52,3,25279,1.83,REES46 cosmetics 2019-Oct..2020-Feb
emil,9,1,24455,48.26,REES46 cosmetics 2019-Oct..2020-Feb
sophin,199,23,24271,5.24,REES46 cosmetics 2019-Oct..2020-Feb
missha,60,9,23927,25.13,REES46 cosmetics 2019-Oct..2020-Feb
kosmekka,57,6,23812,49.76,REES46 cosmetics 2019-Oct..2020-Feb
benovy,30,1,21862,7.08,REES46 cosmetics 2019-Oct..2020-Feb
levissime,7,1,21552,4.92,REES46 cosmetics 2019-Oct..2020-Feb
refectocil,17,4,21100,7.43,REES46 cosmetics 2019-Oct..2020-Feb
shary,81,13,20044,2.05,REES46 cosmetics 2019-Oct..2020-Feb
entity,300,18,20009,8.7,REES46 cosmetics 2019-Oct..2020-Feb
happyfons,43,1,19981,5.83,REES46 cosmetics 2019-Oct..2020-Feb
skinlite,86,13,19496,1.74,REES46 cosmetics 2019-Oct..2020-Feb
farmavita,226,20,19319,5.74,REES46 cosmetics 2019-Oct..2020-Feb
thuya,19,5,17601,13.44,REES46 cosmetics 2019-Oct..2020-Feb
ecolab,97,22,17563,4.3,REES46 cosmetics 2019-Oct..2020-Feb
trind,24,7,17319,9.34,REES46 cosmetics 2019-Oct..2020-Feb
konad,113,11,17016,3.97,REES46 cosmetics 2019-Oct..2020-Feb
igrobeauty,27,7,16965,2.34,REES46 cosmetics 2019-Oct..2020-Feb
kaypro,314,16,16944,13.34,REES46 cosmetics 2019-Oct..2020-Feb
bodyton,52,14,16427,7.2,REES46 cosmetics 2019-Oct..2020-Feb
dartnails,71,1,15638,1.26,REES46 cosmetics 2019-Oct..2020-Feb
insight,77,16,15341,13.67,REES46 cosmetics 2019-Oct..2020-Feb
limoni,89,21,15131,11.73,REES46 cosmetics 2019-Oct..2020-Feb
opi,391,22,14214,11.6,REES46 cosmetics 2019-Oct..2020-Feb
provoc,81,5,13931,6.53,REES46 cosmetics 2019-Oct..2020-Feb
soleo,12,2,13785,0.94,REES46 cosmetics 2019-Oct..2020-Feb
relouis,94,15,13601,4.51,REES46 cosmetics 2019-Oct..2020-Feb
siberina,233,30,13102,5.1,REES46 cosmetics 2019-Oct..2020-Feb
kiss,129,19,13088,6.69,REES46 cosmetics 2019-Oct..2020-Feb
zeitun,168,25,12890,11.0,REES46 cosmetics 2019-Oct..2020-Feb
orly,159,26,12377,11.75,REES46 cosmetics 2019-Oct..2020-Feb
dermacol,142,14,11770,8.9,REES46 cosmetics 2019-Oct..2020-Feb
estelare,36,6,11195,2.13,REES46 cosmetics 2019-Oct..2020-Feb
dermal,63,4,11019,1.03,REES46 cosmetics 2019-Oct..2020-Feb
i-laq,238,3,10223,3.97,REES46 cosmetics 2019-Oct..2020-Feb
eunyul,37,3,9994,4.13,REES46 cosmetics 2019-Oct..2020-Feb
matreshka,66,8,9237,5.49,REES46 cosmetics 2019-Oct..2020-Feb
